KUNTA_NIMI,IKARYHMA,ETUUS,OPPILAITOSASTE,SAAJA_LKM,MAKSETTU_EUR
Akaa,20-24,Opintoraha,Yliopistot,112,59964
Akaa,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,112,64584
Akaa,20-24,Yhteensä,Yliopistot,156,68289
Alajärvi,20-24,Opintoraha,Yliopistot,78,53808
Alajärvi,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,78,53808
Alajärvi,20-24,Yhteensä,Yliopistot,134,59872
Alavus,20-24,Opintoraha,Yliopistot,378,222726
Alavus,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,378,225666
Alavus,20-24,Yhteensä,Yliopistot,390,225666
Askola,20-24,Yhteensä,Yliopistot,8,1299
Aura,20-24,Yhteensä,Yliopistot,24,4275
Espoo,20-24,Asumislisä,Yliopistot,2879,1037091
Espoo,20-24,Opintoraha,Yliopistot,69340,35412877
Espoo,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,69340,36449968
Espoo,20-24,Yhteensä,Yliopistot,72850,36449968
Eura,20-24,Opintoraha,Yliopistot,132,77638
Eura,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,132,86038
Eura,20-24,Yhteensä,Yliopistot,156,97962
Eurajoki,20-24,Opintoraha,Yliopistot,190,109408
Eurajoki,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,190,113188
Eurajoki,20-24,Yhteensä,Yliopistot,194,113188
Forssa,20-24,Opintoraha,Yliopistot,116,51829
Forssa,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,116,54769
Forssa,20-24,Yhteensä,Yliopistot,182,62512
Haapajärvi,20-24,Opintoraha,Yliopistot,56,38358
Haapajärvi,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,56,38358
Haapajärvi,20-24,Yhteensä,Yliopistot,56,38358
Haapavesi,20-24,Opintoraha,Yliopistot,8,14483
Haapavesi,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,8,16163
Haapavesi,20-24,Yhteensä,Yliopistot,8,16163
Hamina,20-24,Opintoraha,Yliopistot,84,46275
Hamina,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,84,53835
Hamina,20-24,Yhteensä,Yliopistot,120,60540
Hankasalmi,20-24,Opintoraha,Yliopistot,94,67721
Hankasalmi,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,94,67721
Hankasalmi,20-24,Yhteensä,Yliopistot,102,67721
Hanko,20-24,Opintoraha,Yliopistot,16,4819
Hanko,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,16,4819
Hanko,20-24,Yhteensä,Yliopistot,30,6118
Harjavalta,20-24,Opintoraha,Yliopistot,8,15645
Harjavalta,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,8,15645
Harjavalta,20-24,Yhteensä,Yliopistot,56,33149
Hattula,20-24,Opintoraha,Yliopistot,100,50988
Hattula,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,100,51828
Hattula,20-24,Yhteensä,Yliopistot,172,55140
Hausjärvi,20-24,Opintoraha,Yliopistot,24,6705
Hausjärvi,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,24,6705
Hausjärvi,20-24,Yhteensä,Yliopistot,52,11734
Heinola,20-24,Yhteensä,Yliopistot,66,18161
Helsinki,20-24,Asumislisä,Yliopistot,7728,2836487
Helsinki,20-24,Opintoraha,Yliopistot,176188,92414679
Helsinki,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,176188,95251166
Helsinki,20-24,Yhteensä,Yliopistot,185909,95251166
Hollola,20-24,Opintoraha,Yliopistot,220,98352
Hollola,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,220,101712
Hollola,20-24,Yhteensä,Yliopistot,266,101712
Huittinen,20-24,Opintoraha,Yliopistot,148,78694
Huittinen,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,148,81634
Huittinen,20-24,Yhteensä,Yliopistot,156,81634
Humppila,20-24,Yhteensä,Yliopistot,8,1676
Hyvinkää,20-24,Opintoraha,Yliopistot,717,313401
Hyvinkää,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,717,326421
Hyvinkää,20-24,Yhteensä,Yliopistot,853,328517
Hämeenkyrö,20-24,Opintoraha,Yliopistot,50,37577
Hämeenkyrö,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,50,38417
Hämeenkyrö,20-24,Yhteensä,Yliopistot,84,43166
Hämeenlinna,20-24,Asumislisä,Yliopistot,42,23730
Hämeenlinna,20-24,Opintoraha,Yliopistot,676,331951
Hämeenlinna,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,682,365092
Hämeenlinna,20-24,Yhteensä,Yliopistot,861,366209
Ii,20-24,Opintoraha,Yliopistot,164,70154
Ii,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,164,76034
Ii,20-24,Yhteensä,Yliopistot,204,78074
Iisalmi,20-24,Opintoraha,Yliopistot,182,99445
Iisalmi,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,182,110785
Iisalmi,20-24,Yhteensä,Yliopistot,216,111889
Ilmajoki,20-24,Opintoraha,Yliopistot,230,139353
Ilmajoki,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,230,141873
Ilmajoki,20-24,Yhteensä,Yliopistot,236,141873
Imatra,20-24,Opintoraha,Yliopistot,122,49714
Imatra,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,122,49714
Imatra,20-24,Yhteensä,Yliopistot,186,51013
Inari,20-24,Opintoraha,Yliopistot,116,73070
Inari,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,116,73490
Inari,20-24,Yhteensä,Yliopistot,160,81733
Inkoo,20-24,Opintoraha,Yliopistot,96,50731
Inkoo,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,96,50731
Inkoo,20-24,Yhteensä,Yliopistot,110,50731
Isokyrö,20-24,Opintoraha,Yliopistot,238,134129
Isokyrö,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,238,134969
Isokyrö,20-24,Yhteensä,Yliopistot,248,134969
Janakkala,20-24,Opintoraha,Yliopistot,82,46051
Janakkala,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,82,49411
Janakkala,20-24,Yhteensä,Yliopistot,88,49411
Joensuu,20-24,Asumislisä,Yliopistot,550,217560
Joensuu,20-24,Opintoraha,Yliopistot,39609,21805065
Joensuu,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,39611,22029345
Joensuu,20-24,Yhteensä,Yliopistot,40738,22029345
Jokioinen,20-24,Opintoraha,Yliopistot,24,24869
Jokioinen,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,24,24869
Jokioinen,20-24,Yhteensä,Yliopistot,72,33156
Jyväskylä,20-24,Asumislisä,Yliopistot,2178,801481
Jyväskylä,20-24,Opintoraha,Yliopistot,64720,35752898
Jyväskylä,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,64720,36554379
Jyväskylä,20-24,Yhteensä,Yliopistot,67478,36554379
Jämsä,20-24,Opintoraha,Yliopistot,192,98863
Jämsä,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,192,106003
Jämsä,20-24,Yhteensä,Yliopistot,204,106003
Järvenpää,20-24,Asumislisä,Yliopistot,68,20580
Järvenpää,20-24,Opintoraha,Yliopistot,1051,496991
Järvenpää,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,1051,520931
Järvenpää,20-24,Yhteensä,Yliopistot,1196,520931
Kaarina,20-24,Asumislisä,Yliopistot,8,1680
Kaarina,20-24,Opintoraha,Yliopistot,1000,368587
Kaarina,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,1000,382447
Kaarina,20-24,Yhteensä,Yliopistot,1110,383747
Kajaani,20-24,Opintoraha,Yliopistot,144,68688
Kajaani,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,144,72048
Kajaani,20-24,Yhteensä,Yliopistot,286,78376
Kalajoki,20-24,Opintoraha,Yliopistot,84,44164
Kalajoki,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,84,50044
Kalajoki,20-24,Yhteensä,Yliopistot,88,50044
Kangasala,20-24,Asumislisä,Yliopistot,8,6300
Kangasala,20-24,Opintoraha,Yliopistot,880,410108
Kangasala,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,880,429428
Kangasala,20-24,Yhteensä,Yliopistot,1026,432026
Kankaanpää,20-24,Opintoraha,Yliopistot,24,13113
Kankaanpää,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,24,13533
Kankaanpää,20-24,Yhteensä,Yliopistot,110,21222
Kauhajoki,20-24,Opintoraha,Yliopistot,32,26262
Kauhajoki,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,32,26262
Kauhajoki,20-24,Yhteensä,Yliopistot,40,27938
Kauhava,20-24,Opintoraha,Yliopistot,208,121070
Kauhava,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,208,127370
Kauhava,20-24,Yhteensä,Yliopistot,304,135751
Kauniainen,20-24,Asumislisä,Yliopistot,124,44940
Kauniainen,20-24,Opintoraha,Yliopistot,1152,464661
Kauniainen,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,1152,513801
Kauniainen,20-24,Yhteensä,Yliopistot,1256,513801
Kemi,20-24,Opintoraha,Yliopistot,14,27125
Kemi,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,14,30275
Kemi,20-24,Yhteensä,Yliopistot,14,30275
Keminmaa,20-24,Yhteensä,Yliopistot,9,6594
Kemiönsaari,20-24,Opintoraha,Yliopistot,114,65598
Kemiönsaari,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,114,65598
Kemiönsaari,20-24,Yhteensä,Yliopistot,114,65598
Kempele,20-24,Asumislisä,Yliopistot,8,7980
Kempele,20-24,Opintoraha,Yliopistot,664,343092
Kempele,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,664,361992
Kempele,20-24,Yhteensä,Yliopistot,784,361992
Kerava,20-24,Asumislisä,Yliopistot,8,7560
Kerava,20-24,Opintoraha,Yliopistot,910,413423
Kerava,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,910,429383
Kerava,20-24,Yhteensä,Yliopistot,1074,430407
Keuruu,20-24,Opintoraha,Yliopistot,32,9304
Keuruu,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,32,10144
Keuruu,20-24,Yhteensä,Yliopistot,32,10144
Kirkkonummi,20-24,Asumislisä,Yliopistot,94,34440
Kirkkonummi,20-24,Opintoraha,Yliopistot,1338,560536
Kirkkonummi,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,1338,601696
Kirkkonummi,20-24,Yhteensä,Yliopistot,1490,601696
Kittilä,20-24,Opintoraha,Yliopistot,104,66821
Kittilä,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,104,69341
Kittilä,20-24,Yhteensä,Yliopistot,128,69341
Kiuruvesi,20-24,Yhteensä,Yliopistot,8,1118
Kokemäki,20-24,Opintoraha,Yliopistot,8,18251
Kokemäki,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,8,20351
Kokemäki,20-24,Yhteensä,Yliopistot,8,20351
Kokkola,20-24,Opintoraha,Yliopistot,854,467774
Kokkola,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,854,479114
Kokkola,20-24,Yhteensä,Yliopistot,991,479114
Kolari,20-24,Opintoraha,Yliopistot,110,75433
Kolari,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,110,75433
Kolari,20-24,Yhteensä,Yliopistot,120,75433
Kontiolahti,20-24,Opintoraha,Yliopistot,303,133920
Kontiolahti,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,303,142740
Kontiolahti,20-24,Yhteensä,Yliopistot,375,144411
Korsnäs,20-24,Opintoraha,Yliopistot,24,24049
Korsnäs,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,24,25729
Korsnäs,20-24,Yhteensä,Yliopistot,24,25729
Kotka,20-24,Opintoraha,Yliopistot,318,145154
Kotka,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,318,148934
Kotka,20-24,Yhteensä,Yliopistot,366,148934
Kouvola,20-24,Opintoraha,Yliopistot,572,252098
Kouvola,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,572,261968
Kouvola,20-24,Yhteensä,Yliopistot,832,265057
Kristiinankaupunki,20-24,Opintoraha,Yliopistot,242,140153
Kristiinankaupunki,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,242,141413
Kristiinankaupunki,20-24,Yhteensä,Yliopistot,272,144766
Kruunupyy,20-24,Opintoraha,Yliopistot,320,175332
Kruunupyy,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,320,184152
Kruunupyy,20-24,Yhteensä,Yliopistot,358,186249
Kuhmo,20-24,Yhteensä,Yliopistot,96,28497
Kuopio,20-24,Asumislisä,Yliopistot,318,125160
Kuopio,20-24,Opintoraha,Yliopistot,33415,18420942
Kuopio,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,33415,18550302
Kuopio,20-24,Yhteensä,Yliopistot,34845,18550302
Kurikka,20-24,Opintoraha,Yliopistot,310,179288
Kurikka,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,310,190628
Kurikka,20-24,Yhteensä,Yliopistot,324,190628
Kuusamo,20-24,Yhteensä,Yliopistot,64,17880
Kärkölä,20-24,Yhteensä,Yliopistot,8,5457
Kärsämäki,20-24,Opintoraha,Yliopistot,16,4470
Kärsämäki,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,16,4470
Kärsämäki,20-24,Yhteensä,Yliopistot,16,4470
Lahti,20-24,Asumislisä,Yliopistot,118,41580
Lahti,20-24,Opintoraha,Yliopistot,2035,984533
Lahti,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,2035,1042913
Lahti,20-24,Yhteensä,Yliopistot,2317,1042913
Laihia,20-24,Opintoraha,Yliopistot,24,18174
Laihia,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,24,19014
Laihia,20-24,Yhteensä,Yliopistot,42,22366
Laitila,20-24,Opintoraha,Yliopistot,38,10616
Laitila,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,38,11036
Laitila,20-24,Yhteensä,Yliopistot,54,14809
Lapinjärvi,20-24,Opintoraha,Yliopistot,64,36878
Lapinjärvi,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,64,36878
Lapinjärvi,20-24,Yhteensä,Yliopistot,64,36878
Lapinlahti,20-24,Opintoraha,Yliopistot,18,5029
Lapinlahti,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,18,5029
Lapinlahti,20-24,Yhteensä,Yliopistot,38,8663
Lappajärvi,20-24,Opintoraha,Yliopistot,32,26820
Lappajärvi,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,32,26820
Lappajärvi,20-24,Yhteensä,Yliopistot,32,26820
Lappeenranta,20-24,Asumislisä,Yliopistot,504,195486
Lappeenranta,20-24,Opintoraha,Yliopistot,27231,14935069
Lappeenranta,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,27231,15133402
Lappeenranta,20-24,Yhteensä,Yliopistot,28345,15133402
Lapua,20-24,Opintoraha,Yliopistot,264,135932
Lapua,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,264,139292
Lapua,20-24,Yhteensä,Yliopistot,278,139292
Laukaa,20-24,Opintoraha,Yliopistot,48,17643
Laukaa,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,48,22683
Laukaa,20-24,Yhteensä,Yliopistot,118,38964
Lemi,20-24,Opintoraha,Yliopistot,10,6314
Lemi,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,10,6314
Lemi,20-24,Yhteensä,Yliopistot,54,9539
Lempäälä,20-24,Opintoraha,Yliopistot,598,272687
Lempäälä,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,598,280247
Lempäälä,20-24,Yhteensä,Yliopistot,658,283412
Leppävirta,20-24,Yhteensä,Yliopistot,32,14137
Lestijärvi,20-24,Opintoraha,Yliopistot,50,13969
Lestijärvi,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,50,13969
Lestijärvi,20-24,Yhteensä,Yliopistot,50,13969
Lieksa,20-24,Yhteensä,Yliopistot,8,1676
Lieto,20-24,Opintoraha,Yliopistot,606,204741
Lieto,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,606,209361
Lieto,20-24,Yhteensä,Yliopistot,674,209361
Liminka,20-24,Opintoraha,Yliopistot,212,85796
Liminka,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,212,89996
Liminka,20-24,Yhteensä,Yliopistot,232,89996
Liperi,20-24,Opintoraha,Yliopistot,176,72907
Liperi,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,176,75847
Liperi,20-24,Yhteensä,Yliopistot,250,75847
Lohja,20-24,Asumislisä,Yliopistot,8,7560
Lohja,20-24,Opintoraha,Yliopistot,396,171511
Lohja,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,396,191251
Lohja,20-24,Yhteensä,Yliopistot,490,191251
Loimaa,20-24,Opintoraha,Yliopistot,212,112241
Loimaa,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,212,119381
Loimaa,20-24,Yhteensä,Yliopistot,242,119381
Loppi,20-24,Opintoraha,Yliopistot,76,38554
Loppi,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,76,39814
Loppi,20-24,Yhteensä,Yliopistot,86,39814
Loviisa,20-24,Opintoraha,Yliopistot,108,69039
Loviisa,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,108,74919
Loviisa,20-24,Yhteensä,Yliopistot,170,82044
Luoto,20-24,Opintoraha,Yliopistot,230,126183
Luoto,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,230,126183
Luoto,20-24,Yhteensä,Yliopistot,248,128279
Luumäki,20-24,Opintoraha,Yliopistot,38,9108
Luumäki,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,38,9108
Luumäki,20-24,Yhteensä,Yliopistot,38,9108
Maalahti,20-24,Opintoraha,Yliopistot,244,134210
Maalahti,20-24,Opintoraha ja asumislisä yhteensä,Yliopistot,244,135050
Maalahti,20-24,Yhteensä,Yliopistot,270,135050
Masku,20-24,Opintoraha,Yliopistot,143,61804
